benchmark,noise_percent,seed,arm,alpha,alpha_mode,best_beta,validation_error,true_alpha,target_noise_l2,initial_slice_effect_l2,target_variance_clean,target_variance_noisy,temporal_adjoint_weight_norm
Frac. RD (space),0.0,0,clean_initial_slice,0.8522375,fractional_subunit,1.661966849766649,0.004686564272528293,1.0,0.0,0.0,5.510943230303401e-07,5.510943230303401e-07,38.95463658611328
Frac. RD (space),0.0,0,target_only_noise,0.8522375,fractional_subunit,1.661966849766649,0.004686564272528293,1.0,0.0,0.0,5.510943230303401e-07,5.510943230303401e-07,38.95463658611328
Frac. RD (space),0.0,0,library_only_noise,0.8522375,fractional_subunit,1.661966849766649,0.004686564272528293,1.0,0.0,0.0,5.510943230303401e-07,5.510943230303401e-07,38.95463658611328
Frac. RD (space),0.0,0,clean,0.8547250000000001,fractional_subunit,1.6618802723235506,0.0045376410588239624,1.0,0.0,0.0,5.520682346163063e-07,5.520682346163063e-07,39.14718323953621
Frac. RD (space),0.0,0,fully_noisy,0.8547250000000001,fractional_subunit,1.6618802723235506,0.0045376410588239624,1.0,0.0,0.0,5.520682346163063e-07,5.520682346163063e-07,39.14718323953621
Frac. RD (space),0.0,0,clean_initial_slice,0.8547250000000001,fractional_subunit,1.6618802723235506,0.0045376410588239624,1.0,0.0,0.0,5.520682346163063e-07,5.520682346163063e-07,39.14718323953621
Frac. RD (space),0.0,0,target_only_noise,0.8547250000000001,fractional_subunit,1.6618802723235506,0.0045376410588239624,1.0,0.0,0.0,5.520682346163063e-07,5.520682346163063e-07,39.14718323953621
Frac. RD (space),0.0,0,library_only_noise,0.8547250000000001,fractional_subunit,1.6618802723235506,0.0045376410588239624,1.0,0.0,0.0,5.520682346163063e-07,5.520682346163063e-07,39.14718323953621
Frac. RD (space),0.0,0,clean,0.8572125,fractional_subunit,1.6617922481186203,0.004390825119310849,1.0,0.0,0.0,5.530354234426289e-07,5.530354234426289e-07,39.34202772584576
Frac. RD (space),0.0,0,fully_noisy,0.8572125,fractional_subunit,1.6617922481186203,0.004390825119310849,1.0,0.0,0.0,5.530354234426289e-07,5.530354234426289e-07,39.34202772584576
Frac. RD (space),0.0,0,clean_initial_slice,0.8572125,fractional_subunit,1.6617922481186203,0.004390825119310849,1.0,0.0,0.0,5.530354234426289e-07,5.530354234426289e-07,39.34202772584576
Frac. RD (space),0.0,0,target_only_noise,0.8572125,fractional_subunit,1.6617922481186203,0.004390825119310849,1.0,0.0,0.0,5.530354234426289e-07,5.530354234426289e-07,39.34202772584576
Frac. RD (space),0.0,0,library_only_noise,0.8572125,fractional_subunit,1.6617922481186203,0.004390825119310849,1.0,0.0,0.0,5.530354234426289e-07,5.530354234426289e-07,39.34202772584576
Frac. RD (space),0.0,0,clean,0.8597,fractional_subunit,1.661704400760289,0.004246662948350547,1.0,0.0,0.0,5.540048402182455e-07,5.540048402182455e-07,39.5391803831487
Frac. RD (space),0.0,0,fully_noisy,0.8597,fractional_subunit,1.661704400760289,0.004246662948350547,1.0,0.0,0.0,5.540048402182455e-07,5.540048402182455e-07,39.5391803831487
Frac. RD (space),0.0,0,clean_initial_slice,0.8597,fractional_subunit,1.661704400760289,0.004246662948350547,1.0,0.0,0.0,5.540048402182455e-07,5.540048402182455e-07,39.5391803831487
Frac. RD (space),0.0,0,target_only_noise,0.8597,fractional_subunit,1.661704400760289,0.004246662948350547,1.0,0.0,0.0,5.540048402182455e-07,5.540048402182455e-07,39.5391803831487
Frac. RD (space),0.0,0,library_only_noise,0.8597,fractional_subunit,1.661704400760289,0.004246662948350547,1.0,0.0,0.0,5.540048402182455e-07,5.540048402182455e-07,39.5391803831487
Frac. RD (space),0.0,0,clean,0.8621875,fractional_subunit,1.661614601723771,0.0041044759627199175,1.0,0.0,0.0,5.549647029263221e-07,5.549647029263221e-07,39.73865142098734
Frac. RD (space),0.0,0,fully_noisy,0.8621875,fractional_subunit,1.661614601723771,0.0041044759627199175,1.0,0.0,0.0,5.549647029263221e-07,5.549647029263221e-07,39.73865142098734
